# ----------------------------------------
Session primary channel group (Default channel group),Date + hour (YYYYMMDDHH),Users,Sessions,Engaged sessions,Average engagement time per session,Engaged sessions per user,Events per session,Engagement rate,Event count
Direct,2024041623,237,300,144,47.526667000000003,0.6075950000000000,4.673333000000000,0.48,1402
Organic Social,2024041719,208,267,132,32.09737800000000,0.6346150000000000,4.295880000000000,0.4943820000000000,1147
Direct,2024041723,188,233,115,39.93991400000000,0.6117020000000000,4.587983000000000,0.49356200000000000,1069
Organic Social,2024041718,187,256,125,32.16015600,0.6684490000000000,4.078125,0.48828100,1044
Organic Social,2024041720,175,221,112,46.918551999999998,0.64,4.529412000000000,0.5067870000000000,1001
Organic Social,2024041721,160,206,103,59.31553400000000,0.64375,4.694175000000000,0.5,967
Organic Social,2024050119,160,219,110,40.31506800000000,0.6875,4.63013700000000,0.502283000000000,1014
Direct,2024041622,158,192,94,39.020833000000003,0.5949370000000000,4.057292000000000,0.4895830000000000,779
Organic Social,2024041321,152,178,96,30.48876400000000,0.631579000000000,5.056180000000000,0.5393260000000000,900
Organic Social,2024041516,151,211,93,64.16587699999999,0.6158940000000001,4.317536000000000,0.44075799999999998,911
Organic Social,2024050322,151,196,125,13.683673000000001,0.8278150000000000,4.678571000000000,0.6377550000000000,917
Organic Social,2024050321,150,188,120,15.48936200000000,0.8,4.579787000000000,0.6382980000000000,861
Organic Social,2024042620,146,184,110,32.630434999999999,0.7534250000000000,4.880435000000000,0.5978260000000000,898
Organic Social,2024041700,140,191,81,20.910995000000000,0.5785709999999999,3.842932000000000,0.42408400000000002,734
Organic Social,2024042621,140,199,82,13.758794000000000,0.5857140000000000,4.040201000000000,0.4120600000000000,804
Organic Social,2024041711,139,150,88,45,0.6330940000000000,5.626667000000000,0.5866670000000000,844
Organic Social,2024041515,136,198,90,43.78787900000000,0.6617650000000000,4.843434000000000,0.45454499999999998,959
Organic Social,2024042517,135,176,88,38.6875,0.6518520000000000,4.1875,0.5,737
Organic Social,2024041916,134,179,81,33.19553100000000,0.6044780000000000,4.094972000000000,0.45251400000000003,733
Organic Social,2024042616,132,176,93,30.90340900000000,0.7045450000000000,4.340909000000000,0.5284090000000000,764
Organic Social,2024041722,131,155,81,39.89677400000000,0.6183210000000000,4.658065000000000,0.5225810000000000,722
Organic Social,2024041119,130,150,93,71.06,0.7153850000000000,5.8,0.62,870
Organic Social,2024041322,130,157,69,28.515923999999998,0.5307690000000000,4.286624000000000,0.4394900000000000,673
Organic Social,2024041513,130,157,86,44.84076400000000,0.6615380000000000,4.6369429999999996,0.5477710000000000,728
Organic Social,2024043015,130,171,97,71.24561400000000,0.7461540000000000,5.573099000000000,0.5672509999999999,953
Organic Social,2024041717,129,147,89,70.77551000000000,0.689922000000000,5.2517009999999997,0.6054420000000000,772
Organic Social,2024050222,129,148,86,29.93243200000000,0.6666670000000000,4.675676000000000,0.581081000000000,692
Direct,2024042923,128,152,70,64.125,0.546875,4.651316000000000,0.4605260000000000,707
Organic Social,2024042610,128,178,81,36.03370800000000,0.6328120,4.353933000000000,0.4550560000000000,775
Organic Social,2024041000,127,200,60,25.07,0.47244100000000000,3.675,0.3,735
Organic Social,2024041712,127,152,88,59.66447400000000,0.6929130000000000,5.309211000000000,0.5789470000000000,807
Organic Social,2024042309,124,163,77,29.478528000000001,0.6209680000000000,4.638037000000000,0.4723930000000000,756
Organic Social,2024042518,124,154,72,63.5974030000000,0.5806450000000000,4.759740000000000,0.4675320000000000,733
Organic Social,2024042619,124,157,86,37.31210200000000,0.6935480000000001,5.414013000000000,0.5477710000000000,850
Organic Social,2024040717,123,159,78,35.138365000000000,0.6341460000000000,4.440252000000000,0.49056600000000000,706
Organic Social,2024041200,122,178,79,26.185393000000001,0.6475410000000000,4.185393000000000,0.4438200000000000,745
Organic Social,2024041323,122,136,66,41.02205900000000,0.5409840000000000,4.8161759999999996,0.4852940000000000,655
Organic Social,2024042622,122,144,79,27.32638900000000,0.6475410000000000,4.659722000000000,0.5486110000000000,671
Organic Social,2024041211,121,150,90,53.08,0.743802000000000,4.6466669999999999,0.6,697
Organic Social,2024041517,121,158,73,48.48101300000000,0.6033060000000000,4.246835000000000,0.4620250000000000,671
Organic Social,2024041221,120,159,80,47.84905700000000,0.6666670000000000,4.647799000000000,0.5031450000000000,739
Organic Social,2024050300,120,166,81,39.59036100000000,0.675,4.662651000000000,0.4879520000000000,774
Organic Social,2024041400,119,182,76,28.005495000000000,0.6386550000000000,4.021978000000000,0.4175820000000000,732
Organic Social,2024042617,119,140,81,47.42142900000000,0.680672000000000,5.678571000000000,0.5785709999999999,795
Organic Social,2024050120,119,145,88,41.9448280000000,0.7394960000000000,5,0.6068970000000000,725
Organic Social,2024042317,118,145,75,59.2,0.635593000000000,4.862069000000000,0.5172410000000000,705
Organic Social,2024050215,118,155,84,67.25806500000000,0.711864000000000,5.316129000000000,0.5419349999999999,824
Organic Social,2024040723,117,139,63,40.597121999999999,0.5384620000000000,4.712230000000000,0.45323700000000000,655
Organic Social,2024041519,117,156,87,72.15384600000000,0.7435900000000000,5.608974000000000,0.5576920000000000,875
Organic Social,2024041714,117,129,80,54.372093000000000,0.6837610000000000,4.744186000000000,0.6201550000000000,612
Organic Social,2024042812,117,141,71,45.48936200000000,0.6068380000000000,4.851064000000000,0.5035460000000000,684
Organic Social,2024041708,116,145,69,25.47586200000000,0.5948280000000000,4.158621000000000,0.47586200000000001,603
Organic Social,2024041715,116,147,91,51.59183700000000,0.7844830000000000,5.707483000000000,0.6190480000000000,839
Organic Social,2024042215,116,152,78,52.51315800000000,0.6724140000000000,5.1118420000000002,0.5131580000000000,777
Organic Social,2024042522,116,154,78,42.61039000000000,0.6724140000000000,4.779221000000000,0.5064940000000000,736
Organic Social,2024042318,115,131,81,88.13740500000000,0.7043480000000000,5.877863000000000,0.6183210000000000,770
Organic Social,2024042520,115,144,78,48.00694400000000,0.6782610000000000,4.715278000000000,0.5416670000000000,679
Organic Social,2024042521,115,142,75,45.309859000000003,0.6521740000000000,4.436620000000000,0.528169000000000,630
Organic Social,2024041716,114,136,86,52.22794100000000,0.7543860000000000,4.742647000000000,0.6323530000000001,645
Organic Social,2024042611,114,141,82,87.73758900000000,0.7192980000000000,6.042553000000000,0.5815600000000000,852
Organic Social,2024042912,113,127,71,63.41732300000000,0.6283190000000000,5.669291000000000,0.5590550000000000,720
Organic Social,2024042914,113,143,84,47.21678300000000,0.7433630000000000,5.321678000000000,0.5874130000000000,761
Organic Social,2024041709,112,134,71,46.05223900000000,0.6339290000000000,4.791045000000000,0.5298510000000000,642
Organic Social,2024042516,112,169,74,29.390533000000001,0.6607140000000000,4.1420120000000002,0.4378700000000000,700
Organic Social,2024050122,112,140,74,44.49285700000000,0.6607140000000000,4.814286000000000,0.5285710000000000,674
Organic Social,2024042310,111,135,83,87,0.7477480000000000,4.970370000000000,0.6148150000000000,671
Organic Social,2024042811,111,172,84,31.575581000000000,0.7567570000000000,4.02907000000000,0.4883720000000000,693
Organic Social,2024041820,110,141,82,54.695034999999997,0.7454550000000000,5.163121000000000,0.5815600000000000,728
Organic Social,2024050121,110,130,79,43.26923100000000,0.7181820000000000,4.707692000000000,0.6076920000000000,612
Organic Social,2024050221,110,126,75,68.51587300000000,0.6818180000000000,5.5476190000000001,0.5952380000000000,699
Organic Social,2024050316,110,134,68,54.776119000000001,0.6181820000000000,5.007463000000000,0.5074630000000000,671
Organic Social,2024042900,109,154,69,29.454545000000000,0.6330280000000000,4.266234000000000,0.44805200000000001,657
Organic Social,2024043019,109,146,72,35.226027000000002,0.6605500000000000,3.9383560000000002,0.4931510000000000,575
Organic Social,2024050223,109,138,73,30.58695700000000,0.6697250000000000,4.195652000000000,0.5289860000000000,579
